"","Data","Tipo.de.Pendência"
"52",Jul 2017,"Bug"
"50",Jul 2017,"Bug"
"46",Jul 2017,"Bug"
"62",Jul 2017,"Story"
"42",Jul 2017,"Bug"
"47",Jul 2017,"Bug"
"45",Jul 2017,"Bug"
"49",Jul 2017,"Bug"
"65",Jul 2017,"Task"
"36",Jul 2017,"Bug"
"48",Jul 2017,"Story"
"63",Jul 2017,"Story"
"64",Jul 2017,"Story"
"66",Jul 2017,"Story"
"67",Jul 2017,"Story"
"68",Jul 2017,"Story"
"59",Jul 2017,"Story"
"27",Jul 2017,"Bug"
"29",Jul 2017,"Bug"
"44",Jul 2017,"Bug"
"43",Aug 2017,"Bug"
"25",Aug 2017,"Bug"
"26",Aug 2017,"Bug"
"24",Aug 2017,"Task"
"14",Aug 2017,"Bug"
"15",Aug 2017,"Bug"
"10",Aug 2017,"Bug"
"34",Aug 2017,"Story"
"35",Aug 2017,"Story"
"40",Aug 2017,"Story"
"55",Aug 2017,"Story"
"56",Aug 2017,"Story"
"57",Aug 2017,"Story"
"22",Aug 2017,"Task"
"23",Aug 2017,"Task"
"18",Aug 2017,"Bug"
"21",Aug 2017,"Bug"
"28",Aug 2017,"Story"
"38",Aug 2017,"Story"
"30",Aug 2017,"Story"
"31",Aug 2017,"Story"
"60",Aug 2017,"Story"
"61",Aug 2017,"Story"
"9",Aug 2017,"Bug"
"12",Aug 2017,"Bug"
"33",Aug 2017,"Story"
"37",Aug 2017,"Story"
"16",Aug 2017,"Story"
"19",Aug 2017,"Story"
"20",Aug 2017,"Story"
"32",Aug 2017,"Story"
"51",Aug 2017,"Story"
"53",Aug 2017,"Story"
"7",Aug 2017,"Bug"
"8",Aug 2017,"Bug"
"13",Aug 2017,"Bug"
"2",Aug 2017,"Bug"
"3",Aug 2017,"Bug"
"17",Aug 2017,"Story"
"41",Aug 2017,"Story"
"54",Aug 2017,"Story"
"58",Aug 2017,"Story"
"6",Aug 2017,"Bug"
"39",Aug 2017,"Story"
"11",Sep 2017,"Bug"
"4",Sep 2017,"Bug"
"5",Sep 2017,"Bug"
"1",Sep 2017,"Task"
